d1,d2,d3,d4,d5,d6,d7,d8,c1,c2,c3,c4,c5,c6,c7,h
4029.439186,0.0,2788.98275,0.0,0.0,0.0,0.0,5589.792219,0,0,0,0,2,0,0,2
0.0,4029.439186,0.0,2788.98275,0.0,0.0,0.0,0.0,0,0,0,2,0,0,2,0
0.0,0.0,4029.439186,0.0,2788.98275,0.0,0.0,0.0,0,0,2,0,0,2,0,0
0.0,0.0,0.0,4029.439186,0.0,2788.98275,0.0,0.0,0,2,0,0,2,0,0,0
0.0,0.0,0.0,0.0,4029.439186,0.0,2788.98275,0.0,2,0,0,2,0,0,0,0
0.0,0.0,0.0,0.0,0.0,4029.439186,0.0,2788.98275,0,0,2,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,4029.439186,0.0,0,2,0,0,0,0,0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4029.439186,2,0,0,0,0,0,2,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2,2,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,2,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,2,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,2,0,0,0,0
4253.529065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,2,0,0,0,0,2
0.0,4253.529065,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0,0,0,0,2,2
0.0,0.0,4253.529065,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,2,2,0
0.0,0.0,0.0,4253.529065,0.0,0.0,0.0,0.0,0,0,0,0,2,2,0,0
0.0,0.0,0.0,0.0,4253.529065,0.0,0.0,0.0,0,0,0,2,2,0,0,0
0.0,0.0,0.0,0.0,0.0,4253.529065,0.0,0.0,0,0,2,2,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,4253.529065,0.0,0,2,2,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4253.529065,2,2,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0
8268.258838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2,0,0
0.0,8268.258838,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,0,0
3674.530847,0.0,8268.258838,0.0,0.0,0.0,0.0,0.0,0,0,0,2,0,0,0,2
0.0,3674.530847,0.0,8268.258838,0.0,0.0,0.0,0.0,0,0,2,0,0,0,2,0
0.0,0.0,3674.530847,0.0,8268.258838,0.0,0.0,0.0,0,2,0,0,0,2,0,0
5601.53083,0.0,0.0,3674.530847,0.0,8268.258838,0.0,0.0,2,0,0,0,2,0,0,2
0.0,5601.53083,0.0,0.0,3674.530847,0.0,8268.258838,0.0,0,0,0,2,0,0,2,0
0.0,0.0,5601.53083,0.0,0.0,3674.530847,0.0,8268.258838,0,0,2,0,0,2,0,0
0.0,0.0,0.0,5601.53083,0.0,0.0,3674.530847,0.0,0,2,0,0,2,0,0,0
7366.071753,0.0,0.0,0.0,5601.53083,0.0,0.0,3674.530847,2,0,0,2,0,0,0,2
0.0,7366.071753,0.0,0.0,0.0,5601.53083,0.0,0.0,0,0,2,0,0,0,2,0
392.8730323,0.0,7366.071753,0.0,0.0,0.0,5601.53083,0.0,0,2,0,0,0,2,0,2
0.0,392.8730323,0.0,7366.071753,0.0,0.0,0.0,5601.53083,2,0,0,0,2,0,2,0
0.0,0.0,392.8730323,0.0,7366.071753,0.0,0.0,0.0,0,0,0,2,0,2,0,0
0.0,0.0,0.0,392.8730323,0.0,7366.071753,0.0,0.0,0,0,2,0,2,0,0,0
0.0,0.0,0.0,0.0,392.8730323,0.0,7366.071753,0.0,0,2,0,2,0,0,0,2
97.37997016,0.0,0.0,0.0,0.0,392.8730323,0.0,7366.071753,2,0,2,0,0,0,2,2
0.0,97.37997016,0.0,0.0,0.0,0.0,392.8730323,0.0,0,2,0,0,0,2,2,0
0.0,0.0,97.37997016,0.0,0.0,0.0,0.0,392.8730323,2,0,0,0,2,2,0,0
3257.4608,0.0,0.0,97.37997016,0.0,0.0,0.0,0.0,0,0,0,2,2,0,0,2
8185.983776,3257.4608,0.0,0.0,97.37997016,0.0,0.0,0.0,0,0,2,2,0,0,2,2
3833.628009,8185.983776,3257.4608,0.0,0.0,97.37997016,0.0,0.0,0,2,2,0,0,2,2,2
0.0,3833.628009,8185.983776,3257.4608,0.0,0.0,97.37997016,0.0,2,2,0,0,2,2,2,0
0.0,0.0,3833.628009,8185.983776,3257.4608,0.0,0.0,97.37997016,2,0,0,2,2,2,0,0
0.0,0.0,0.0,3833.628009,8185.983776,3257.4608,0.0,0.0,0,0,2,2,2,0,0,0
0.0,0.0,0.0,0.0,3833.628009,8185.983776,3257.4608,0.0,0,2,2,2,0,0,0,0
2140.667489,0.0,0.0,0.0,0.0,3833.628009,8185.983776,3257.4608,2,2,2,0,0,0,0,2
0.0,2140.667489,0.0,0.0,0.0,0.0,3833.628009,8185.983776,2,2,0,0,0,0,2,0
0.0,0.0,2140.667489,0.0,0.0,0.0,0.0,3833.628009,2,0,0,0,0,2,0,0
2576.207472,0.0,0.0,2140.667489,0.0,0.0,0.0,0.0,0,0,0,0,2,0,0,2
6945.605097,2576.207472,0.0,0.0,2140.667489,0.0,0.0,0.0,0,0,0,2,0,0,2,2
2937.01004,6945.605097,2576.207472,0.0,0.0,2140.667489,0.0,0.0,0,0,2,0,0,2,2,2
421.5040663,2937.01004,6945.605097,2576.207472,0.0,0.0,2140.667489,0.0,0,2,0,0,2,2,2,2
0.0,421.5040663,2937.01004,6945.605097,2576.207472,0.0,0.0,2140.667489,2,0,0,2,2,2,2,0
284.7288526,0.0,421.5040663,2937.01004,6945.605097,2576.207472,0.0,0.0,0,0,2,2,2,2,0,2
698.2828828,284.7288526,0.0,421.5040663,2937.01004,6945.605097,2576.207472,0.0,0,2,2,2,2,0,2,2
0.0,698.2828828,284.7288526,0.0,421.5040663,2937.01004,6945.605097,2576.207472,2,2,2,2,0,2,2,2
5113.905234,0.0,698.2828828,284.7288526,0.0,421.5040663,2937.01004,6945.605097,2,2,2,0,2,2,2,2
2477.70817,5113.905234,0.0,698.2828828,284.7288526,0.0,421.5040663,2937.01004,2,2,0,2,2,2,2,2
2048.177763,2477.70817,5113.905234,0.0,698.2828828,284.7288526,0.0,421.5040663,2,0,2,2,2,2,2,2
2489.969765,2048.177763,2477.70817,5113.905234,0.0,698.2828828,284.7288526,0.0,0,2,2,2,2,2,2,2
2038.783578,2489.969765,2048.177763,2477.70817,5113.905234,0.0,698.2828828,284.7288526,2,2,2,2,2,2,2,2
2201.905993,2038.783578,2489.969765,2048.177763,2477.70817,5113.905234,0.0,698.2828828,2,2,2,2,2,2,2,2
2537.545407,2201.905993,2038.783578,2489.969765,2048.177763,2477.70817,5113.905234,0.0,2,2,2,2,2,2,2,2
4513.275017,2537.545407,2201.905993,2038.783578,2489.969765,2048.177763,2477.70817,5113.905234,2,2,2,2,2,2,2,2
0.0,4513.275017,2537.545407,2201.905993,2038.783578,2489.969765,2048.177763,2477.70817,2,2,2,2,2,2,2,0
651.6271073,0.0,4513.275017,2537.545407,2201.905993,2038.783578,2489.969765,2048.177763,2,2,2,2,2,2,0,2
3706.228434,651.6271073,0.0,4513.275017,2537.545407,2201.905993,2038.783578,2489.969765,2,2,2,2,2,0,2,2
1958.832206,3706.228434,651.6271073,0.0,4513.275017,2537.545407,2201.905993,2038.783578,2,2,2,2,0,2,2,2
806.8378245,1958.832206,3706.228434,651.6271073,0.0,4513.275017,2537.545407,2201.905993,2,2,2,0,2,2,2,2
0.0,806.8378245,1958.832206,3706.228434,651.6271073,0.0,4513.275017,2537.545407,2,2,0,2,2,2,2,0
0.0,0.0,806.8378245,1958.832206,3706.228434,651.6271073,0.0,4513.275017,2,0,2,2,2,2,0,0
0.0,0.0,0.0,806.8378245,1958.832206,3706.228434,651.6271073,0.0,0,2,2,2,2,0,0,2
0.0,0.0,0.0,0.0,806.8378245,1958.832206,3706.228434,651.6271073,2,2,2,2,0,0,2,0
351.9841956,0.0,0.0,0.0,0.0,806.8378245,1958.832206,3706.228434,2,2,2,0,0,2,0,2
3463.144196,351.9841956,0.0,0.0,0.0,0.0,806.8378245,1958.832206,2,2,0,0,2,0,2,2
0.0,3463.144196,351.9841956,0.0,0.0,0.0,0.0,806.8378245,2,0,0,2,0,2,2,2
4467.213586,0.0,3463.144196,351.9841956,0.0,0.0,0.0,0.0,0,0,2,0,2,2,2,2
246.1903678,4467.213586,0.0,3463.144196,351.9841956,0.0,0.0,0.0,0,2,0,2,2,2,2,2
0.0,246.1903678,4467.213586,0.0,3463.144196,351.9841956,0.0,0.0,2,0,2,2,2,2,2,0
1682.581827,0.0,246.1903678,4467.213586,0.0,3463.144196,351.9841956,0.0,0,2,2,2,2,2,0,2
563.1793347,1682.581827,0.0,246.1903678,4467.213586,0.0,3463.144196,351.9841956,2,2,2,2,2,0,2,2
705.2033917,563.1793347,1682.581827,0.0,246.1903678,4467.213586,0.0,3463.144196,2,2,2,2,0,2,2,2
0.0,705.2033917,563.1793347,1682.581827,0.0,246.1903678,4467.213586,0.0,2,2,2,0,2,2,2,2
0.0,0.0,705.2033917,563.1793347,1682.581827,0.0,246.1903678,4467.213586,2,2,0,2,2,2,2,0
47.30931445,0.0,0.0,705.2033917,563.1793347,1682.581827,0.0,246.1903678,2,0,2,2,2,2,0,2
2273.652064,47.30931445,0.0,0.0,705.2033917,563.1793347,1682.581827,0.0,0,2,2,2,2,0,2,2
0.0,2273.652064,47.30931445,0.0,0.0,705.2033917,563.1793347,1682.581827,2,2,2,2,0,2,2,0
374.7668015,0.0,2273.652064,47.30931445,0.0,0.0,705.2033917,563.1793347,2,2,2,0,2,2,0,2
4055.340531,374.7668015,0.0,2273.652064,47.30931445,0.0,0.0,705.2033917,2,2,0,2,2,0,2,2
0.0,4055.340531,374.7668015,0.0,2273.652064,47.30931445,0.0,0.0,2,0,2,2,0,2,2,0
3473.314662,0.0,4055.340531,374.7668015,0.0,2273.652064,47.30931445,0.0,0,2,2,0,2,2,0,2
307.4380596,3473.314662,0.0,4055.340531,374.7668015,0.0,2273.652064,47.30931445,2,2,0,2,2,0,2,2
1743.344921,307.4380596,3473.314662,0.0,4055.340531,374.7668015,0.0,2273.652064,2,0,2,2,0,2,2,2
0.0,1743.344921,307.4380596,3473.314662,0.0,4055.340531,374.7668015,0.0,0,2,2,0,2,2,2,2
510.5418458,0.0,1743.344921,307.4380596,3473.314662,0.0,4055.340531,374.7668015,2,2,0,2,2,2,2,2
1395.563506,510.5418458,0.0,1743.344921,307.4380596,3473.314662,0.0,4055.340531,2,0,2,2,2,2,2,2
1142.44596,1395.563506,510.5418458,0.0,1743.344921,307.4380596,3473.314662,0.0,0,2,2,2,2,2,2,2
1534.979341,1142.44596,1395.563506,510.5418458,0.0,1743.344921,307.4380596,3473.314662,2,2,2,2,2,2,2,2
0.0,1534.979341,1142.44596,1395.563506,510.5418458,0.0,1743.344921,307.4380596,2,2,2,2,2,2,2,0
1555.762813,0.0,1534.979341,1142.44596,1395.563506,510.5418458,0.0,1743.344921,2,2,2,2,2,2,0,2
379.0755168,1555.762813,0.0,1534.979341,1142.44596,1395.563506,510.5418458,0.0,2,2,2,2,2,0,2,2
1050.973191,379.0755168,1555.762813,0.0,1534.979341,1142.44596,1395.563506,510.5418458,2,2,2,2,0,2,2,2
2602.125717,1050.973191,379.0755168,1555.762813,0.0,1534.979341,1142.44596,1395.563506,2,2,2,0,2,2,2,2
3913.657236,2602.125717,1050.973191,379.0755168,1555.762813,0.0,1534.979341,1142.44596,2,2,0,2,2,2,2,2
983.6430891,3913.657236,2602.125717,1050.973191,379.0755168,1555.762813,0.0,1534.979341,2,0,2,2,2,2,2,2
0.0,983.6430891,3913.657236,2602.125717,1050.973191,379.0755168,1555.762813,0.0,0,2,2,2,2,2,2,2
2830.572389,0.0,983.6430891,3913.657236,2602.125717,1050.973191,379.0755168,1555.762813,2,2,2,2,2,2,2,2
0.0,2830.572389,0.0,983.6430891,3913.657236,2602.125717,1050.973191,379.0755168,2,2,2,2,2,2,2,0
287.0788374,0.0,2830.572389,0.0,983.6430891,3913.657236,2602.125717,1050.973191,2,2,2,2,2,2,0,2
0.0,287.0788374,0.0,2830.572389,0.0,983.6430891,3913.657236,2602.125717,2,2,2,2,2,0,2,0
0.0,0.0,287.0788374,0.0,2830.572389,0.0,983.6430891,3913.657236,2,2,2,2,0,2,0,0
327.5227174,0.0,0.0,287.0788374,0.0,2830.572389,0.0,983.6430891,2,2,2,0,2,0,0,2
0.0,327.5227174,0.0,0.0,287.0788374,0.0,2830.572389,0.0,2,2,0,2,0,0,2,0
42.94425,0.0,327.5227174,0.0,0.0,287.0788374,0.0,2830.572389,2,0,2,0,0,2,0,2
742.8994378,42.94425,0.0,327.5227174,0.0,0.0,287.0788374,0.0,0,2,0,0,2,0,2,2
470.3783483,742.8994378,42.94425,0.0,327.5227174,0.0,0.0,287.0788374,2,0,0,2,0,2,2,2
0.0,470.3783483,742.8994378,42.94425,0.0,327.5227174,0.0,0.0,0,0,2,0,2,2,2,2
475.3225851,0.0,470.3783483,742.8994378,42.94425,0.0,327.5227174,0.0,0,2,0,2,2,2,2,2
1457.410445,475.3225851,0.0,470.3783483,742.8994378,42.94425,0.0,327.5227174,2,0,2,2,2,2,2,2
3640.627759,1457.410445,475.3225851,0.0,470.3783483,742.8994378,42.94425,0.0,0,2,2,2,2,2,2,2
431.721521,3640.627759,1457.410445,475.3225851,0.0,470.3783483,742.8994378,42.94425,2,2,2,2,2,2,2,2
157.2384096,431.721521,3640.627759,1457.410445,475.3225851,0.0,470.3783483,742.8994378,2,2,2,2,2,2,2,2
18.43871184,157.2384096,431.721521,3640.627759,1457.410445,475.3225851,0.0,470.3783483,2,2,2,2,2,2,2,2
1576.976823,18.43871184,157.2384096,431.721521,3640.627759,1457.410445,475.3225851,0.0,2,2,2,2,2,2,2,2
399.6461229,1576.976823,18.43871184,157.2384096,431.721521,3640.627759,1457.410445,475.3225851,2,2,2,2,2,2,2,2
60.12281331,399.6461229,1576.976823,18.43871184,157.2384096,431.721521,3640.627759,1457.410445,2,2,2,2,2,2,2,2
0.0,60.12281331,399.6461229,1576.976823,18.43871184,157.2384096,431.721521,3640.627759,2,2,2,2,2,2,2,0
1963.736332,0.0,60.12281331,399.6461229,1576.976823,18.43871184,157.2384096,431.721521,2,2,2,2,2,2,0,2
0.0,1963.736332,0.0,60.12281331,399.6461229,1576.976823,18.43871184,157.2384096,2,2,2,2,2,0,2,0
2084.163836,0.0,1963.736332,0.0,60.12281331,399.6461229,1576.976823,18.43871184,2,2,2,2,0,2,0,1
0.0,2084.163836,0.0,1963.736332,0.0,60.12281331,399.6461229,1576.976823,2,2,2,0,2,0,1,0
236.1254913,0.0,2084.163836,0.0,1963.736332,0.0,60.12281331,399.6461229,2,2,0,2,0,1,0,2
1270.207416,236.1254913,0.0,2084.163836,0.0,1963.736332,0.0,60.12281331,2,0,2,0,1,0,2,2
147.5147013,1270.207416,236.1254913,0.0,2084.163836,0.0,1963.736332,0.0,0,2,0,1,0,2,2,2
22.61941709,147.5147013,1270.207416,236.1254913,0.0,2084.163836,0.0,1963.736332,2,0,1,0,2,2,2,2
1455.120299,22.61941709,147.5147013,1270.207416,236.1254913,0.0,2084.163836,0.0,0,1,0,2,2,2,2,2
1613.2636,1455.120299,22.61941709,147.5147013,1270.207416,236.1254913,0.0,2084.163836,1,0,2,2,2,2,2,2
776.588998,1613.2636,1455.120299,22.61941709,147.5147013,1270.207416,236.1254913,0.0,0,2,2,2,2,2,2,2
592.9900919,776.588998,1613.2636,1455.120299,22.61941709,147.5147013,1270.207416,236.1254913,2,2,2,2,2,2,2,2
711.6856187,592.9900919,776.588998,1613.2636,1455.120299,22.61941709,147.5147013,1270.207416,2,2,2,2,2,2,2,2
3039.35989,711.6856187,592.9900919,776.588998,1613.2636,1455.120299,22.61941709,147.5147013,2,2,2,2,2,2,2,2
1095.100489,3039.35989,711.6856187,592.9900919,776.588998,1613.2636,1455.120299,22.61941709,2,2,2,2,2,2,2,2
847.4431219,1095.100489,3039.35989,711.6856187,592.9900919,776.588998,1613.2636,1455.120299,2,2,2,2,2,2,2,2
0.0,847.4431219,1095.100489,3039.35989,711.6856187,592.9900919,776.588998,1613.2636,2,2,2,2,2,2,2,2
1968.334547,0.0,847.4431219,1095.100489,3039.35989,711.6856187,592.9900919,776.588998,2,2,2,2,2,2,2,2
0.0,1968.334547,0.0,847.4431219,1095.100489,3039.35989,711.6856187,592.9900919,2,2,2,2,2,2,2,2
250.4687379,0.0,1968.334547,0.0,847.4431219,1095.100489,3039.35989,711.6856187,2,2,2,2,2,2,2,2
696.2676081,250.4687379,0.0,1968.334547,0.0,847.4431219,1095.100489,3039.35989,2,2,2,2,2,2,2,2
143.8294694,696.2676081,250.4687379,0.0,1968.334547,0.0,847.4431219,1095.100489,2,2,2,2,2,2,2,2
541.8367157,143.8294694,696.2676081,250.4687379,0.0,1968.334547,0.0,847.4431219,2,2,2,2,2,2,2,2
25.45286919,541.8367157,143.8294694,696.2676081,250.4687379,0.0,1968.334547,0.0,2,2,2,2,2,2,2,2
139.4465494,25.45286919,541.8367157,143.8294694,696.2676081,250.4687379,0.0,1968.334547,2,2,2,2,2,2,2,2
13202.23989,139.4465494,25.45286919,541.8367157,143.8294694,696.2676081,250.4687379,0.0,2,2,2,2,2,2,2,1
0.0,13202.23989,139.4465494,25.45286919,541.8367157,143.8294694,696.2676081,250.4687379,2,2,2,2,2,2,1,0
206.2351233,0.0,13202.23989,139.4465494,25.45286919,541.8367157,143.8294694,696.2676081,2,2,2,2,2,1,0,2
0.0,206.2351233,0.0,13202.23989,139.4465494,25.45286919,541.8367157,143.8294694,2,2,2,2,1,0,2,0
257.7039622,0.0,206.2351233,0.0,13202.23989,139.4465494,25.45286919,541.8367157,2,2,2,1,0,2,0,2
0.0,257.7039622,0.0,206.2351233,0.0,13202.23989,139.4465494,25.45286919,2,2,1,0,2,0,2,0
0.0,0.0,257.7039622,0.0,206.2351233,0.0,13202.23989,139.4465494,2,1,0,2,0,2,0,2
572.5902678,0.0,0.0,257.7039622,0.0,206.2351233,0.0,13202.23989,1,0,2,0,2,0,2,2
3535.968024,572.5902678,0.0,0.0,257.7039622,0.0,206.2351233,0.0,0,2,0,2,0,2,2,1
0.106661874,3535.968024,572.5902678,0.0,0.0,257.7039622,0.0,206.2351233,2,0,2,0,2,2,1,2
2580.81821,0.106661874,3535.968024,572.5902678,0.0,0.0,257.7039622,0.0,0,2,0,2,2,1,2,2
2507.8391,2580.81821,0.106661874,3535.968024,572.5902678,0.0,0.0,257.7039622,2,0,2,2,1,2,2,1
1743.052142,2507.8391,2580.81821,0.106661874,3535.968024,572.5902678,0.0,0.0,0,2,2,1,2,2,1,2
95.15352844,1743.052142,2507.8391,2580.81821,0.106661874,3535.968024,572.5902678,0.0,2,2,1,2,2,1,2,2
1671.055241,95.15352844,1743.052142,2507.8391,2580.81821,0.106661874,3535.968024,572.5902678,2,1,2,2,1,2,2,2
0.0,1671.055241,95.15352844,1743.052142,2507.8391,2580.81821,0.106661874,3535.968024,1,2,2,1,2,2,2,0
2423.014575,0.0,1671.055241,95.15352844,1743.052142,2507.8391,2580.81821,0.106661874,2,2,1,2,2,2,0,2
0.0,2423.014575,0.0,1671.055241,95.15352844,1743.052142,2507.8391,2580.81821,2,1,2,2,2,0,2,2
20.34032171,0.0,2423.014575,0.0,1671.055241,95.15352844,1743.052142,2507.8391,1,2,2,2,0,2,2,2
1284.596957,20.34032171,0.0,2423.014575,0.0,1671.055241,95.15352844,1743.052142,2,2,2,0,2,2,2,2
281.5991704,1284.596957,20.34032171,0.0,2423.014575,0.0,1671.055241,95.15352844,2,2,0,2,2,2,2,2
2351.797631,281.5991704,1284.596957,20.34032171,0.0,2423.014575,0.0,1671.055241,2,0,2,2,2,2,2,2
165.0283372,2351.797631,281.5991704,1284.596957,20.34032171,0.0,2423.014575,0.0,0,2,2,2,2,2,2,2
253.8270786,165.0283372,2351.797631,281.5991704,1284.596957,20.34032171,0.0,2423.014575,2,2,2,2,2,2,2,2
0.0,253.8270786,165.0283372,2351.797631,281.5991704,1284.596957,20.34032171,0.0,2,2,2,2,2,2,2,1
5091.216892,0.0,253.8270786,165.0283372,2351.797631,281.5991704,1284.596957,20.34032171,2,2,2,2,2,2,1,1
0.0,5091.216892,0.0,253.8270786,165.0283372,2351.797631,281.5991704,1284.596957,2,2,2,2,2,1,1,0
0.0,0.0,5091.216892,0.0,253.8270786,165.0283372,2351.797631,281.5991704,2,2,2,2,1,1,0,0
259.8875526,0.0,0.0,5091.216892,0.0,253.8270786,165.0283372,2351.797631,2,2,2,1,1,0,0,2
5316.749235,259.8875526,0.0,0.0,5091.216892,0.0,253.8270786,165.0283372,2,2,1,1,0,0,2,1
0.0,5316.749235,259.8875526,0.0,0.0,5091.216892,0.0,253.8270786,2,1,1,0,0,2,1,0
0.0,0.0,5316.749235,259.8875526,0.0,0.0,5091.216892,0.0,1,1,0,0,2,1,0,0
0.0,0.0,0.0,5316.749235,259.8875526,0.0,0.0,5091.216892,1,0,0,2,1,0,0,0
0.0,0.0,0.0,0.0,5316.749235,259.8875526,0.0,0.0,0,0,2,1,0,0,0,0
3519.20948,0.0,0.0,0.0,0.0,5316.749235,259.8875526,0.0,0,2,1,0,0,0,0,2
776.1519423,3519.20948,0.0,0.0,0.0,0.0,5316.749235,259.8875526,2,1,0,0,0,0,2,2
0.0,776.1519423,3519.20948,0.0,0.0,0.0,0.0,5316.749235,1,0,0,0,0,2,2,0
417.6076037,0.0,776.1519423,3519.20948,0.0,0.0,0.0,0.0,0,0,0,0,2,2,0,2
0.0,417.6076037,0.0,776.1519423,3519.20948,0.0,0.0,0.0,0,0,0,2,2,0,2,0
1152.254124,0.0,417.6076037,0.0,776.1519423,3519.20948,0.0,0.0,0,0,2,2,0,2,0,2
1980.590788,1152.254124,0.0,417.6076037,0.0,776.1519423,3519.20948,0.0,0,2,2,0,2,0,2,1
1594.73456,1980.590788,1152.254124,0.0,417.6076037,0.0,776.1519423,3519.20948,2,2,0,2,0,2,1,2
313.8180439,1594.73456,1980.590788,1152.254124,0.0,417.6076037,0.0,776.1519423,2,0,2,0,2,1,2,2
6737.283706,313.8180439,1594.73456,1980.590788,1152.254124,0.0,417.6076037,0.0,0,2,0,2,1,2,2,1
0.0,6737.283706,313.8180439,1594.73456,1980.590788,1152.254124,0.0,417.6076037,2,0,2,1,2,2,1,0
0.0,0.0,6737.283706,313.8180439,1594.73456,1980.590788,1152.254124,0.0,0,2,1,2,2,1,0,0
2732.215046,0.0,0.0,6737.283706,313.8180439,1594.73456,1980.590788,1152.254124,2,1,2,2,1,0,0,2
2660.50912,2732.215046,0.0,0.0,6737.283706,313.8180439,1594.73456,1980.590788,1,2,2,1,0,0,2,1
1350.222969,2660.50912,2732.215046,0.0,0.0,6737.283706,313.8180439,1594.73456,2,2,1,0,0,2,1,2
0.0,1350.222969,2660.50912,2732.215046,0.0,0.0,6737.283706,313.8180439,2,1,0,0,2,1,2,0
2913.522834,0.0,1350.222969,2660.50912,2732.215046,0.0,0.0,6737.283706,1,0,0,2,1,2,0,2
1434.49332,2913.522834,0.0,1350.222969,2660.50912,2732.215046,0.0,0.0,0,0,2,1,2,0,2,2
0.0,1434.49332,2913.522834,0.0,1350.222969,2660.50912,2732.215046,0.0,0,2,1,2,0,2,2,0
371.6411329,0.0,1434.49332,2913.522834,0.0,1350.222969,2660.50912,2732.215046,2,1,2,0,2,2,0,2
9812.687616,371.6411329,0.0,1434.49332,2913.522834,0.0,1350.222969,2660.50912,1,2,0,2,2,0,2,1
